,model,cv rmse,std rmse,cv mae,std mae
0,Naive,6059.919204842914,5619.719170676279,492.37987543219367,101.5656298728816
1,raw features,0.0,0.0,0.0,0.0
2,raw features+kmeans,0.0,0.0,0.0,0.0
3,DeepWalk Embedding,5701.780772779882,4335.803834067468,471.04667279145235,72.78777046787118
4,Node2Vec Embedding,6019.656496096061,4326.054297360476,471.96915740578805,80.69992798837646
5,Matrix Factorization,5986.738481872953,4103.977770041289,483.1549978488687,83.86448139383319
6,PCA,6283.057823076379,4604.994924812305,499.1780126817681,76.67860628430131
7,AutoEncoder,5684.531754599431,4721.536814532143,481.80358037242013,74.34058419160779
8,AutoEncoder + DeepWalk,6127.046829999686,4575.461491181465,475.5417926664509,78.92756945238344
9,Tile2Vec,6003.4143509526275,5768.839650019326,578.3467111667328,102.15746724740268
10,HDGE,6273.612017993875,5652.425943295706,473.0404062293236,99.82559460886598
11,MSNE,6322.108676526291,4619.833204638332,520.3085180897563,81.29798295109323
12,MSNE + Tile2Vec,6259.10023682717,4955.797630834373,502.3978629203758,84.08109919079482
13,RegionEncoder,5676.689941549516,3781.2264754006637,465.8001963883544,68.22119185914833
