,model,cv mape,std mape,cv mae,std mae
0,Naive,8.126480419,0.547144236,809.9428596,265.4837517
1,raw features,0,0,0,0
2,raw features+kmeans,0,0,0,0
3,DeepWalk Embedding,8.8765481,0.828981303,824.1696082,239.2538917
4,Node2Vec Embedding,9.125263952,0.975784511,799.0387691,226.6178263
5,Matrix Factorization,9.012699323,0.815605148,823.3662343,268.7487791
6,PCA,8.858733334,0.721927463,853.9988171,242.547301
7,AutoEncoder,8.813384316,0.694537489,927.9870165,240.3607385
8,AutoEncoder + DeepWalk,10.65973654,3.296795935,825.6661186,212.4317126
9,Tile2Vec,8.793312206,0.667170723,804.631667,238.9676592
10,HDGE,9.363918663,0.805003517,803.1207822,232.8451482
11,MSNE,9.324818047,0.651262624,871.5692062,191.8985012
12,MSNE + Tile2Vec,8.833270636,0.622090373,825.3477551,192.6210728
13,RegionEncoder,8.71512788,0.418961159,700.2230688,309.8542233
