,model,cv rmse,std rmse,cv mae,std mae
0,Naive,6591.126574139681,5454.887720746238,633.1882241278812,150.53323759620798
1,raw features,6622.095487361698,5535.138392936364,595.8165883479645,146.55310151040058
2,raw features+kmeans,6799.737061184093,5476.735833094158,597.8418573177374,144.74313167925482
3,DeepWalk Embedding,6566.529204527976,5536.292275928806,595.4590330382832,145.42009348333406
4,Node2Vec Embedding,6577.666307409336,5538.309819356421,598.0728524689123,145.98635242825998
5,Matrix Factorization,6665.852491996588,5479.326877750011,590.031678649015,145.30544762140798
6,PCA,6477.449529942219,5548.724337635886,627.5248136282056,146.08045134792224
7,AutoEncoder,6396.5684936074995,5630.46895935841,623.4710393404971,148.84548563253117
8,AutoEncoder + DeepWalk,6552.539450790875,5486.668295753093,598.0321160483944,145.78825652027322
9,Tile2Vec,6656.201911228393,5470.602122386431,635.7413926905825,140.67099465068512
10,RegionEncoder,6562.293359846893,5541.252331302559,596.883581154127,148.67277092534877
