,model,cv rmse,std rmse,cv mae,std mae
0,Naive,71.22926238209827,3.7126812533752287,43.52909110227348,2.0902535849611508
1,raw features,70.00265600818545,3.0726297968179987,43.11480416302305,1.3859766107729172
2,raw features+kmeans,70.79588405295871,2.6208009681109354,43.30352475357551,1.4975408597731608
3,DeepWalk Embedding,71.77886650360611,4.069197475621035,43.25130362483994,1.5979851372439875
4,Node2Vec Embedding,70.7251113120843,3.134351822791975,43.142096375687984,1.579410899251079
5,Matrix Factorization,70.9061797856268,3.2206080801626946,43.17893064721136,1.5217767986146342
6,PCA,71.28842078572119,3.768142381096884,43.169164734761914,1.5107898512708138
7,AutoEncoder,70.42529680893979,4.560574969868532,43.126630335664004,1.808171208692031
8,AutoEncoder + DeepWalk,71.56110588537649,5.60364230502536,43.273321920030675,1.7856329956026953
9,Tile2Vec,70.87176596290666,3.192988711902517,43.53685073256379,1.158730909247452
10,HDGE,70.4235239017006,2.857497183652146,43.141563320429654,1.2996496749644377
11,MSNE,70.18551894651807,3.4314001832847643,43.23192644863102,1.3230832108647057
12,MSNE + Tile2Vec,71.56491109637311,2.164521042068909,43.37661988074329,1.4858235644416657
13,RegionEncoder,70.96624068466862,4.9958719741274535,43.14163320637531,1.725582924700175
