zpid,street,city,state,zipcode,price,sold,soldTime,priceSqft,latitude,longitude,numBedrooms,numBathrooms,sqft
102671588,8301 Ridge Blvd APT 1H, Brooklyn ,NY ,11209,-1,523000,03/29/2016,523 ,40.625957,-74.032303,2,1,1000
102671634,570 Westminster Rd APT C17, Brooklyn ,NY ,11230,-1,370000,01/14/2019,528 ,40.634584,-73.966588,-1,1,700
102754482,444 Neptune Ave # 6A, Brooklyn ,NY ,11224,-1,260000,05/23/2016,354 ,40.579742,-73.970088,1,1,734
102754700,3111 Brighton 2nd St APT 4H, Brooklyn ,NY ,11235,-1,265000,09/05/2017,331 ,40.576028,-73.964659,1,1,800
102754827,855 E 7th St APT 3N, Brooklyn ,NY ,11230,-1,225000,12/20/2016,357 ,40.630206,-73.969803,1,1,630
102956140,1634 57th St, BROOKLYN ,NY ,11204,-1,875000,05/11/2017,92 ,40.625808,-73.989624,-1,-1,9437
102960622,2212 Brigham St APT 6H, Brooklyn ,NY ,11229,-1,160000,01/17/2018,190 ,40.597813,-73.935093,1,1,840
102961455,515 E 7th St APT 5S, Brooklyn ,NY ,11218,-1,440000,07/16/2018,550 ,40.639255,-73.971578,1,1,800
102988336,515 Avenue I APT 3E, Brooklyn ,NY ,11230,-1,262000,03/14/2016,262 ,40.626709,-73.971733,1,1,1000
103864061,193 Clinton Ave APT 6G, Brooklyn ,NY ,11205,-1,580000,09/08/2016,748 ,40.692319,-73.968464,1,1,775
103864063,205 Clinton Ave APT 9A, Brooklyn ,NY ,11205,-1,585493,10/18/2016,731 ,40.692044,-73.968409,1,1,800
103864096,165 Clinton Ave APT 5I, Brooklyn ,NY ,11205,-1,565000,06/01/2017,706 ,40.692943,-73.96827,1,1,800
103864107,325 Clinton Ave APT 3E, Brooklyn ,NY ,11205,-1,685000,12/05/2018,883 ,40.688278,-73.967297,2,1,775
103864121,355 Clinton Ave APT 5A, Brooklyn ,NY ,11238,-1,646588,08/15/2016,834 ,40.687489,-73.967501,1,1,775
103864127,1170 Ocean Pkwy APT 12G, Brooklyn ,NY ,11230,-1,310000,07/17/2017,364 ,40.620098,-73.970499,1,1,850
103865708,2211 Bragg St # 6B, Brooklyn ,NY ,11229,-1,160000,02/01/2017,168 ,40.598573,-73.935552,2,1,950
104461392,39 Madison St, BROOKLYN ,NY ,11238,-1,625000,05/03/2016,101 ,40.684116,-73.957527,2,1,6182
104461393,37 Madison St # A, BROOKLYN ,NY ,11238,-1,890000,05/24/2016,143 ,40.684104,-73.957641,-1,4,6182
104465159,24 8th Ave APT 4B, Brooklyn ,NY ,11217,-1,575000,03/05/2018,1045 ,40.675029,-73.972256,1,1,550
108244181,525 Ocean Pkwy APT 6B, Brooklyn ,NY ,11218,-1,760000,06/27/2018,620 ,40.635647,-73.972004,3,2,1225
108244550,55 Eastern Pkwy APT 5H, Brooklyn ,NY ,11238,-1,679000,09/26/2017,930 ,40.673163,-73.966693,1,1,730
108244555,2260 Benson Ave APT 6L, Brooklyn ,NY ,11214,-1,439000,10/03/2018,462 ,40.599085,-73.99398,2,1,950
108256548,1818 Newkirk Ave # 5R, Brooklyn ,NY ,11226,-1,658000,07/11/2017,626 ,40.636808,-73.960325,2,1,1050
